"year","week","zone","spp","pools_L","pools_G","n_pools","pos_pools_L","pos_pools_G","n_pos_pools"
2017,27,"LV","Tarsalis",9,0,9,0,0,0
2017,27,"NE","Pipiens",7,4,11,0,0,0
2017,27,"NE","Tarsalis",12,1,13,0,0,0
2017,27,"NW","Pipiens",6,4,10,0,0,0
2017,27,"NW","Tarsalis",6,0,6,0,0,0
2017,27,"SE","Pipiens",4,5,9,0,0,0
2017,27,"SE","Tarsalis",17,0,17,0,0,0
2017,27,"SW","Pipiens",2,1,3,0,0,0
2017,27,"SW","Tarsalis",5,0,5,0,0,0
2017,28,"BE","Pipiens",1,0,1,0,0,0
2017,28,"BE","Tarsalis",13,0,13,3,0,3
2017,28,"LV","Pipiens",1,0,1,0,0,0
2017,28,"LV","Tarsalis",11,0,11,0,0,0
2017,28,"NE","Pipiens",3,8,11,0,1,1
2017,28,"NE","Tarsalis",12,1,13,0,0,0
2017,28,"NW","Pipiens",4,2,6,0,0,0
2017,28,"NW","Tarsalis",7,0,7,0,0,0
2017,28,"SE","Pipiens",9,7,16,0,0,0
2017,28,"SE","Tarsalis",77,0,77,3,0,3
2017,28,"SW","Pipiens",4,1,5,0,0,0
2017,28,"SW","Tarsalis",7,0,7,0,0,0
2017,29,"BE","Pipiens",2,0,2,1,0,1
2017,29,"BE","Tarsalis",11,0,11,1,0,1
2017,29,"LV","Pipiens",4,0,4,0,0,0
2017,29,"LV","Tarsalis",15,0,15,2,0,2
2017,29,"NE","Pipiens",7,8,15,0,1,1
2017,29,"NE","Tarsalis",24,1,25,0,0,0
2017,29,"NW","Pipiens",5,3,8,0,1,1
2017,29,"NW","Tarsalis",9,1,10,0,0,0
2017,29,"SE","Pipiens",6,7,13,0,0,0
2017,29,"SE","Tarsalis",40,2,42,2,0,2
2017,29,"SW","Pipiens",2,3,5,0,0,0
2017,29,"SW","Tarsalis",6,0,6,0,0,0
2017,30,"BE","Pipiens",1,0,1,0,0,0
2017,30,"BE","Tarsalis",4,0,4,0,0,0
2017,30,"LV","Pipiens",3,0,3,0,0,0
2017,30,"LV","Tarsalis",25,0,25,1,0,1
2017,30,"NE","Pipiens",5,14,19,0,1,1
2017,30,"NE","Tarsalis",16,0,16,2,0,2
2017,30,"NW","Pipiens",5,4,9,0,0,0
2017,30,"NW","Tarsalis",13,0,13,1,0,1
2017,30,"SE","Pipiens",6,5,11,0,1,1
2017,30,"SE","Tarsalis",30,0,30,1,0,1
2017,30,"SW","Pipiens",6,2,8,0,0,0
2017,30,"SW","Tarsalis",10,0,10,0,0,0
2017,31,"BE","Pipiens",2,0,2,0,0,0
2017,31,"BE","Tarsalis",5,0,5,0,0,0
2017,31,"LV","Pipiens",4,0,4,0,0,0
2017,31,"LV","Tarsalis",12,0,12,0,0,0
2017,31,"NE","Pipiens",8,6,14,0,1,1
2017,31,"NE","Tarsalis",11,1,12,1,0,1
2017,31,"NW","Pipiens",6,4,10,0,0,0
2017,31,"NW","Tarsalis",10,1,11,0,0,0
2017,31,"SE","Pipiens",7,12,19,1,6,7
2017,31,"SE","Tarsalis",25,0,25,3,0,3
2017,31,"SW","Pipiens",4,2,6,1,0,1
2017,31,"SW","Tarsalis",9,0,9,1,0,1
2017,32,"BE","Pipiens",2,0,2,0,0,0
2017,32,"BE","Tarsalis",4,0,4,0,0,0
2017,32,"LV","Pipiens",1,0,1,0,0,0
2017,32,"LV","Tarsalis",7,0,7,0,0,0
2017,32,"NE","Pipiens",8,4,12,1,0,1
2017,32,"NE","Tarsalis",9,0,9,0,0,0
2017,32,"NW","Pipiens",5,2,7,0,0,0
2017,32,"NW","Tarsalis",7,0,7,0,0,0
2017,32,"SE","Pipiens",12,3,15,0,1,1
2017,32,"SE","Tarsalis",17,0,17,1,0,1
2017,32,"SW","Pipiens",6,1,7,0,0,0
2017,32,"SW","Tarsalis",6,0,6,1,0,1
2017,33,"BE","Pipiens",1,0,1,0,0,0
2017,33,"BE","Tarsalis",4,0,4,0,0,0
2017,33,"LV","Pipiens",5,0,5,0,0,0
2017,33,"LV","Tarsalis",7,0,7,1,0,1
2017,33,"NE","Pipiens",7,5,12,0,1,1
2017,33,"NE","Tarsalis",10,2,12,1,0,1
2017,33,"NW","Pipiens",6,1,7,0,0,0
2017,33,"NW","Tarsalis",9,0,9,0,0,0
2017,33,"SE","Pipiens",6,3,9,0,2,2
2017,33,"SE","Tarsalis",12,0,12,1,0,1
2017,33,"SW","Pipiens",3,1,4,0,0,0
2017,33,"SW","Tarsalis",6,0,6,0,0,0
2017,34,"BE","Pipiens",3,0,3,0,0,0
2017,34,"BE","Tarsalis",4,0,4,3,0,3
2017,34,"LV","Pipiens",3,0,3,0,0,0
2017,34,"LV","Tarsalis",7,0,7,0,0,0
2017,34,"NE","Pipiens",5,4,9,0,0,0
2017,34,"NE","Tarsalis",10,0,10,0,0,0
2017,34,"NW","Pipiens",5,2,7,0,0,0
2017,34,"NW","Tarsalis",9,0,9,1,0,1
2017,34,"SE","Pipiens",10,5,15,0,1,1
2017,34,"SE","Tarsalis",15,0,15,1,0,1
2017,34,"SW","Pipiens",2,1,3,0,0,0
2017,34,"SW","Tarsalis",7,0,7,0,0,0
2017,35,"BE","Tarsalis",2,0,2,0,0,0
2017,35,"LV","Pipiens",3,0,3,0,0,0
2017,35,"LV","Tarsalis",6,0,6,0,0,0
2017,35,"NE","Pipiens",6,5,11,0,0,0
2017,35,"NE","Tarsalis",10,1,11,0,0,0
2017,35,"NW","Pipiens",4,2,6,0,0,0
2017,35,"NW","Tarsalis",6,0,6,0,0,0
2017,35,"SE","Pipiens",7,3,10,0,1,1
2017,35,"SE","Tarsalis",13,0,13,0,0,0
2017,35,"SW","Pipiens",2,1,3,0,0,0
2017,35,"SW","Tarsalis",6,0,6,0,0,0
2017,36,"LV","Pipiens",1,0,1,0,0,0
2017,36,"LV","Tarsalis",4,0,4,0,0,0
2017,36,"NE","Pipiens",6,4,10,0,0,0
2017,36,"NE","Tarsalis",5,0,5,0,0,0
2017,36,"NW","Pipiens",2,1,3,0,0,0
2017,36,"NW","Tarsalis",4,0,4,0,0,0
2017,36,"SE","Pipiens",7,3,10,0,1,1
2017,36,"SE","Tarsalis",6,0,6,0,0,0
2017,36,"SW","Pipiens",3,0,3,0,0,0
2017,36,"SW","Tarsalis",4,0,4,0,0,0
2018,24,"BE","Tarsalis",4,0,4,0,0,0
2018,24,"LV","Tarsalis",6,0,6,0,0,0
2018,24,"NE","Pipiens",0,2,2,0,0,0
2018,24,"NE","Tarsalis",9,0,9,0,0,0
2018,24,"NW","Pipiens",6,1,7,0,0,0
2018,24,"NW","Tarsalis",8,0,8,0,0,0
2018,24,"SE","Pipiens",6,4,10,0,0,0
2018,24,"SE","Tarsalis",16,0,16,0,0,0
2018,24,"SW","Pipiens",2,1,3,0,0,0
2018,24,"SW","Tarsalis",6,0,6,0,0,0
2018,25,"BE","Pipiens",1,0,1,0,0,0
2018,25,"BE","Tarsalis",4,0,4,0,0,0
2018,25,"LV","Pipiens",2,0,2,0,0,0
2018,25,"LV","Tarsalis",4,0,4,0,0,0
2018,25,"NE","Pipiens",4,3,7,0,0,0
2018,25,"NE","Tarsalis",8,0,8,0,0,0
2018,25,"NW","Pipiens",2,2,4,0,0,0
